Date,AAG.BX,ADS.BX,ALR.BX,ALU.BX,AMAL.BX,ARAX.BX,ARCV.BX,ATB.BX,BAYN.BX,BMWG.BX,BNET.BX,BUCU.BX,BUCV.BX,CBC.BX,CEON.BX,COMI.BX,CONQ.BX,COTE.BX,COVB.BX,CPHA.BX,DAFR.BX,DAI.BX,DIGI.BX,DTE.BX,EBS.BX,EFO.BX,ELEL.BX,ELGS.BX,FLAO.BX,FP.BX,GAOY.BX,HAI.BX,IARV.BX,IASX.BX,IMP.BX,IPRU.BX,LACT.BX,LCSI.BX,LHA.BX,LIH.BX,MAMA.BX,MCAB.BX,MECE.BX,NCHI.BX,NRF.BX,OIL.BX,PBK.BX,PREB.BX,PRIB.BX,PRSN.BX,REFE.BX,RMAH.BX,RO2P.BX,ROAAB.BX,ROADISS.BX,ROAG.BX,ROALT.BX,ROALW.BX,ROAPP.BX,ROAQ.BX,ROAROBS.BX,ROARTE.BX,ROASC.BX,ROAST.BX,ROBIO.BX,ROBIOW.BX,ROBONA.BX,ROBRD.BX,ROBRK.BX,ROBRNA.BX,ROBVB.BX,ROCAB.BX,ROCC.BX,ROCE.BX,ROCLAIM.BX,ROCMP.BX,ROEL.BX,SIF2.BX,ROFRB.BX,ROHUNT.BX,ROM.BX,ROMAM.BX,ROMILK.BX,ROONE.BX,ROPPL.BX,ROPTR.BX,ROREIT.BX,RORKOT.BX,RORRC.BX,ROSAFE.BX,ROSCD.BX,ROSFG.BX,ROSMTL.BX,ROSNN.BX,ROSNP.BX,ROSTZ.BX,ROTBK.BX,ROTBM.BX,ROTEL.BX,ROTLV.BX,ROWINE.BX,RPH.BX,SIF1.BX,SIF3.BX,SIF4.BX,SIF5.BX,SNG.BX,SNO.BX,STOF.BX,TGN.BX,TRP.BX,TSND.BX,TTS.BX,UARG.BX,VESY.BX,VNC.BX
1/3/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2005,,21379777620,1813231064,,,,,202007823.8,65600635235,88195646278,,,10636886.47,25235593.5,,,,163777020.7,,,,1.19E+11,,2.74E+11,36352197629,65363038.48,,,7416283.7,,,,,,316944353.8,115650345.6,,,51894876585,,,,,,,153761586.8,471535525.2,,,,10583333.75,,,,,,9152855.335,,,,,23977998.57,,,85905424.65,,,5686714934,,,,,,5913667.701,,121369397.7,,420462566.3,,,,,,,23655564.58,13445794.05,,,229319572,,300211910.1,,,,23412592675,10974704.14,,153688069.6,,2412400469,,,,611600265.9,480186726.4,542454942.6,,55839327,,,,,,,,
1/5/2005,,21004100582,2066693034,,,,,216834498.2,63599788191,88051937437,,,10636886.47,25235593.5,,,,169473601,,,,1.17E+11,,2.70E+11,35783489813,65861609.74,,,7416283.7,,,,,,324490554.1,118220490.2,,,51092493361,,,,,,,163080470.8,494425411.1,,,,10583333.75,,,,,,9100539.906,,,,,23977998.57,,,85905424.65,,,5770343095,,,,,,5913667.701,,127593496.8,,433439806,,,,,,,23655564.58,14002175.57,,,254798449.5,,302296985,,,,24524370211,11106900.37,,152210299.7,,2434733056,,,,633443132.6,496327456.7,554058256.9,,55406464,,,,,,,,
1/6/2005,,21169678160,2086190006,,,,,214980933.1,63832218202,88786603530,,,10636886.47,26788553.1,,,,165201158.6,,,,1.18E+11,,2.71E+11,,66027800.16,,,7416283.7,,,,,,342396274.4,117577723.1,,,51842642998,,,,,,,168904773.4,494425411.1,,,,10583333.75,,,,,,9414357.449,,,,,23977998.57,,,85905424.65,,,5979413497,,,,,,5913667.701,,120591412,,428248910.1,,,,,,,23655564.58,14187728.81,,,252504051.2,,314806020.7,,,,25374519467,11503596.49,,155165839.5,,2390057859,,,,638903849.2,500362639.3,556959085.4,,55406464,,,,,,,,
1/7/2005,,21137261070,2105687644,,,,,222393962.7,63924428925,88903714207,,,10636886.47,26788553.1,,,,170897753.3,,,,1.18E+11,,2.74E+11,36092422412,69853642.12,,,7625193.1,,,,,,345157367.8,120147867.6,,,52117582466,,,,,,,171816924.6,508159613,,,,10583333.75,,,,,,9675859.562,,,,,23977998.57,,,88676304.68,,,6369678248,,,,,,5913667.701,,122925369.2,,425653462.2,,,,,,,23655564.58,14373282.05,,,252504051.2,,316890388.8,,,,25374519467,11679893.94,,155165839.5,,2434733056,,,,638903849.2,508433004.5,559859914,,55406464,,,,,,,,
1/10/2005,,20999747520,2047196062,,,,,248340181.4,63703701652,88058891785,,,10636886.47,26788553.1,,,,179442638.1,,,,1.17E+11,,2.67E+11,35349393252,68522964.66,,,7625193.1,,,,,,350680539.9,122075245.1,,,51814037759,,,,,,,189289832.2,512737680.3,,,,10583333.75,,,,,,9989677.104,,,,,23977998.57,,,102531722.8,,,6439368382,,,,,,5913667.701,,126815511,,441226149.8,,,,,,,23655564.58,14373282.05,,,247912490.5,,329399424.6,,,,24655113024,11635792.72,,159599149.2,,2546416035,,,,655285999.2,528608917.3,597570685.4,,56272190,,,,,,,,
1/11/2005,,20573826065,2066693034,,,,,242780101.5,62432244445,86183302068,,,10636886.47,26788553.1,,,,166625310.9,,,,1.15E+11,,2.61E+11,34564169158,68689155.08,,,8356376,,,,,,358963820.1,126572767.1,,,51653314331,,,,,,,189289832.2,517315747.6,,,,10583333.75,,,,,,9780471.662,,,,,25868380.2,,,94219082.7,,,6104855738,,,,,,5913667.701,,124481340.7,,443821597.7,,,,,,,23655564.58,14187728.81,,,238730751.2,,335653942.4,,,,24655113024,11768042.66,,159599149.2,,2479408252,,,,671668149.2,524573734.8,603372342.6,,56272190,,,,,,,,
1/12/2005,,20200576264,2066693034,,,,,240927151.9,61136947568,85128959387,,,10636886.47,26788553.1,,,,156656273.8,,,,1.13E+11,,2.56E+11,34238684119,68689155.08,,,7520738.4,,,,,,350680539.9,122718012.2,,,51085594362,,,,,,,182883099.4,499003478.4,,,,10583333.75,,,,,,9571266.22,,,,,26863317.9,,,96989962.73,,,6118793765,,,,,,5913667.701,,119035440.6,,428248910.1,,,,,,,23655564.58,14095091.29,,,234139190.4,,333568867.5,,,,24655113024,11768042.66,,159599149.2,,2345382663,,,,638903849.2,504397821.9,580165714,,57570779,,,,,,,,
1/13/2005,,20147309386,1988704480,,,,,244633666.6,61522954738,84304361501,,,10636886.47,27176793,,,,159504564,,,,1.12E+11,,2.59E+11,33620771702,68855345.5,,,8774194.8,,,,,,361724913.5,125930307.9,,,51233799946,,,,,,,186377681,499003478.4,,,,10583333.75,,,,,,9675859.562,,,,,29848131,,,96989962.73,,,6383616274,,,,,,5987717.105,,122925369.2,,433439806,,,,,,,23655564.58,14373282.05,,,243322311.9,,337738310.5,,,,24655113024,11900292.6,,159599149.2,,2412400469,,,,649825282.5,504397821.9,597570685.4,,59735094,,,,,,,,
1/14/2005,,19905650871,2066693034,,,,,252046696.1,61576271625,84629123563,,,10636886.47,27176793,,,,165201158.6,,,,1.12E+11,,2.55E+11,33134510929,70685171.27,,,8774194.8,,,,,,361724913.5,125287848.8,,,50233026400,,,,,,,186377681,508159613,,,,10583333.75,,,,,,9518969.549,,,,,29848131,,,99760842.77,,,6397554301,,,,,,5987717.105,,119813426.3,,430844358,,,,,,,23655564.58,14187728.81,,,250208270.9,,341908460.3,,,,24655113024,12120637.56,,165510228.8,,2434733056,,,,649825282.5,504397821.9,609173999.7,,60600820,,,,,,,,
